,City,Elevation,Condo value,Females,Land area,Males,Cost of living,Median Income,Population,Population density
37,Mulvane, 1250 feet," $134,833 ",36.5 years,2.28,43.5 years,79.6," $70,306 "," 6,289 (98% urban, 2% rural). "," 2,759 "
38,"Newton, KS", 1448 feet," $108,380 ",36.5 years,9.58,38.5 years,82.5," $47,444 "," 19,120 (99% urban, 1% rural). "," 1,995 "
39,"Olathe, KS", 1040 feet," $217,300 ",36.5 years,54.2,35.0 years,87.1," $82,242 "," 135,474"," 2,501 "
40,"Ottawa, KS", 901 feet," $102,490 ",36.5 years,6.69,36.4 years,81.9," $43,484 "," 12,403 (98% urban, 2% rural). "," 1,853 "
41,"Overland Park, KS", 1000 feet," $264,900 ",36.5 years,56.7,38.1 years,88.5," $78,602 "," 188,955"," 3,330 "
42,"Park City, KS", 1360 feet," $120,052 ",36.5 years,5.65,32.4 years,82.8," $59,809 "," 7,556 (92% urban, 8% rural). "," 1,338 "
43,"Parsons, KS", 907 feet," $65,649 ",36.5 years,10.4,37.0 years,75.2," $35,862 "," 10,174 (98% urban, 2% rural). ", 982 
44,"Pittsburg, KS", 944 feet," $90,281 ",36.5 years,12.4,26.0 years,78.2," $34,003 "," 20,394 (98% urban, 2% rural). "," 1,639 "
45,Prairie Village, 1050 feet," $249,999 ",36.5 years,6.22,39.3 years,89.7," $85,719 "," 21,877 (100% urban, 0% rural). "," 3,516 "
46,"Pratt, KS", 1890 feet," $86,212 ",36.5 years,7.42,36.1 years,76.8," $43,360 "," 6,963 (99% urban, 1% rural). ", 939 
47,Roeland Park, 930 feet," $169,397 ",36.5 years,1.62,34.1 years,88.6," $62,611 "," 6,840 (100% urban, 0% rural). "," 4,212 "
48,"Salina, KS", 1225 feet," $126,265 ",36.5 years,22.7,37.2 years,78.5," $47,065 "," 47,867 (99% urban, 1% rural). "," 2,106 "
49,"Shawnee, KS", 1000 feet," $210,300 ",36.5 years,41.7,39.6 years,87.4," $80,033 "," 65,215"," 1,562 "
50,"Topeka, KS", 1000 feet," $107,900 ",36.5 years,56.0,36.0 years,81.9," $45,054 "," 126,812"," 2,264 "
51,"Ulysses, KS", 3057 feet," $103,561 ",36.5 years,2.89,31.5 years,76.1," $55,536 "," 6,160 (99% urban, 1% rural). "," 2,129 "
52,"Valley Center, KS", 1345 feet," $142,445 ",36.5 years,3.33,35.9 years,83.1," $59,566 "," 7,057 (90% urban, 10% rural). "," 2,116 "
53,"Wellington, KS", 1230 feet," $78,287 ",36.5 years,5.65,39.2 years,79.1," $42,765 "," 7,942 (97% urban, 3% rural). "," 1,405 "
54,"Wichita, KS", 1305 feet," $123,500 ",36.5 years,135.8,34.7 years,82.8," $49,202 "," 389,927"," 2,872 "
55,"Winfield, KS", 1127 feet," $88,889 ",36.5 years,11.1,36.1 years,77.3," $42,348 "," 12,258 (97% urban, 3% rural). "," 1,109 "
0,"Adrian, MI", 770 feet," $79,109 ",39.7 years,7.14,34.4 years,81.5," $35,722 "," 20,840 (100% urban, 0% rural). "," 2,921 "
1,"Albion, MI", 959 feet," $65,200 ",39.7 years,4.46,29.7 years,81.9," $29,273 "," 8,267 (99% urban, 1% rural). "," 1,854 "
2,Allen Park, 595 feet," $122,197 ",39.7 years,7.01,42.6 years,88.7," $68,074 "," 27,566 (100% urban, 0% rural). "," 3,932 "
3,"Allendale, MI", 650 feet," $176,694 ",39.7 years,22.8,21.2 years,85.9," $46,139 "," 17,579. ", 770 
4,"Alma, MI", 736 feet," $91,736 ",39.7 years,5.36,32.2 years,78.0," $36,302 "," 9,232 (96% urban, 4% rural). "," 1,722 "
5,"Alpena, MI", 590 feet," $88,053 ",39.7 years,8.38,41.8 years,77.3," $36,670 "," 10,247 (98% urban, 2% rural). "," 1,223 "
6,"Ann Arbor, MI",," $297,700 ",39.7 years,27.0,28.0 years,96.3," $60,745 "," 120,777"," 4,471 "
7,Auburn Hills, 975 feet," $141,788 ",39.7 years,16.6,30.3 years,89.7," $55,277 "," 21,845 (100% urban, 0% rural). "," 1,315 "
8,"Battle Creek, MI", 840 feet," $92,358 ",39.7 years,42.8,36.0 years,82.7," $39,260 "," 51,833 (99% urban, 1% rural). "," 1,210 "
9,"Bay City, MI", 600 feet," $70,899 ",39.7 years,10.4,37.0 years,80.5," $33,288 "," 34,149 (100% urban, 0% rural). "," 3,281 "
10,"Beecher, MI", 800 feet," $38,545 ",39.7 years,5.92,30.7 years,79.9," $24,376 "," 10,232. "," 1,727 "
11,Benton Harbor, 590 feet," $55,161 ",39.7 years,4.39,32.5 years,81.7," $19,417 "," 10,018 (100% urban, 0% rural). "," 2,281 "
12,"Berkley, MI", 660 feet," $186,785 ",39.7 years,2.62,37.8 years,90.7," $76,370 "," 15,273 (100% urban, 0% rural). "," 5,827 "
13,"Beverly Hills, MI",," $375,211 ",39.7 years,4.01,44.0 years,92.1," $111,421 "," 10,448 (100% urban, 0% rural). "," 2,606 "
14,Big Rapids, 282 feet," $101,750 ",39.7 years,4.25,22.3 years,79.3," $25,339 "," 10,443 (98% urban, 2% rural). "," 2,460 "
15,"Birmingham, MI", 770 feet," $514,421 ",39.7 years,4.78,41.1 years,94.3," $115,880 "," 20,757 (100% urban, 0% rural). "," 4,345 "
16,Bloomfield Township,," $442,086 ",35.5 years,24.9,45.2 years,100.3," $120,702 "," 43,211."," 1,733 "
17,"Bridgeport, MI", 600 feet," $76,815 ",39.7 years,8.34,46.7 years,82.5," $40,190 "," 6,950. ", 834 
18,"Brighton, MI", 920 feet," $194,497 ",39.7 years,3.61,44.3 years,89.8," $60,967 "," 7,636 (100% urban, 0% rural). "," 2,116 "
19,"Buena Vista, MI",," $43,953 ",39.7 years,4.48,38.2 years,82.7," $25,933 "," 6,816. "," 1,521 "
20,"Burton, MI", 774 feet," $87,453 ",39.7 years,23.5,39.7 years,81.1," $44,301 "," 28,974 (100% urban, 0% rural). "," 1,234 "
21,Cadillac, 1328 feet," $84,945 ",39.7 years,6.82,38.6 years,78.9," $35,654 "," 10,335 (100% urban, 0% rural). "," 1,515 "
22,"Canton, MI",," $204,470 ",35.5 years,36.0,33.4 years,94.0," $77,274 "," 73,490."," 2,042 "
23,"Carrollton, MI",," $77,391 ",35.5 years,3.21,35.0 years,85.2," $45,574 "," 6,352."," 1,978 "
24,Center Line, 620 feet," $69,959 ",39.7 years,1.74,42.3 years,87.2," $38,649 "," 8,316 (100% urban, 0% rural). "," 4,789 "
25,"Charlotte, MI", 917 feet," $110,006 ",39.7 years,5.98,38.4 years,84.7," $42,749 "," 9,056 (97% urban, 3% rural). "," 1,515 "
26,"Clawson, MI", 667 feet," $162,998 ",39.7 years,2.2,40.0 years,89.6," $61,015 "," 12,049 (100% urban, 0% rural). "," 5,477 "
27,"Coldwater, MI", 969 feet," $87,592 ",39.7 years,8.13,35.1 years,78.4," $38,784 "," 10,811 (100% urban, 0% rural). "," 1,330 "
28,Comstock Park, 700 feet," $136,877 ",39.7 years,3.9,34.3 years,85.6," $44,684 "," 10,088. "," 2,585 "
29,Cutlerville, 678 feet," $135,295 ",39.7 years,5.98,35.7 years,85.6," $51,887 "," 14,370. "," 2,403 "
30,Dearborn Heights,," $103,953 ",39.7 years,11.7,37.8 years,89.2," $47,481 "," 56,415 (100% urban, 0% rural). "," 4,815 "
31,"Dearborn, MI",," $136,400 ",39.7 years,24.4,31.4 years,89.8," $49,257 "," 94,430"," 3,876 "
32,"Detroit, MI", 600 feet," $43,500 ",39.7 years,138.8,34.0 years,87.1," $28,099 "," 672,829"," 4,849 "
33,East Grand Rapids, 756 feet," $342,928 ",39.7 years,2.93,38.5 years,89.1," $129,210 "," 11,258 (100% urban, 0% rural). "," 3,847 "
34,East Lansing, 850 feet," $191,319 ",39.7 years,11.2,21.4 years,87.9," $35,828 "," 48,648 (100% urban, 0% rural). "," 4,325 "
35,Eastpointe,," $69,842 ",39.7 years,5.1,36.7 years,88.7," $47,555 "," 32,654 (100% urban, 0% rural). "," 6,400 "
36,"Eastwood, MI", 850 feet," $92,373 ",39.7 years,2.0,32.4 years,82.6," $43,811 "," 6,340. "," 3,177 "
37,Ecorse, 580 feet," $48,487 ",39.7 years,2.69,39.0 years,87.4," $27,392 "," 9,311 (100% urban, 0% rural). "," 3,462 "
38,Escanaba, 598 feet," $94,499 ",39.7 years,12.7,45.1 years,78.3," $31,471 "," 12,413 (100% urban, 0% rural). ", 981 
39,Fair Plain, 626 feet," $104,493 ",39.7 years,4.21,40.1 years,82.7," $36,567 "," 7,631. "," 1,813 "
40,Farmington Hills, 800 feet," $243,500 ",39.7 years,33.3,45.1 years,90.8," $71,100 "," 81,130"," 2,437 "
41,"Farmington, MI",," $194,285 ",39.7 years,2.67,38.7 years,90.1," $66,296 "," 10,554 (100% urban, 0% rural). "," 3,953 "
42,"Fenton, MI", 900 feet," $126,347 ",39.7 years,6.56,38.8 years,82.5," $47,970 "," 11,463 (100% urban, 0% rural). "," 1,747 "
43,"Ferndale, MI", 649 feet," $130,070 ",39.7 years,3.88,35.0 years,89.5," $56,794 "," 20,256 (100% urban, 0% rural). "," 5,221 "
44,"Flat Rock, MI",," $140,931 ",39.7 years,6.7,38.4 years,88.1," $59,443 "," 9,854 (100% urban, 0% rural). "," 1,471 "
45,Flint, 740 feet," $28,200 ",39.7 years,33.6,34.1 years,79.3," $25,896 "," 97,379"," 2,895 "
46,"Flushing, MI", 730 feet," $133,916 ",39.7 years,4.31,45.3 years,80.8," $51,455 "," 8,135 (100% urban, 0% rural). "," 1,887 "
47,"Forest Hills, MI",," $323,487 ",39.7 years,49.4,41.4 years,87.7," $130,388 "," 25,867. ", 524 
48,"Fraser, MI", 605 feet," $141,556 ",39.7 years,4.19,44.8 years,88.7," $56,826 "," 14,622 (100% urban, 0% rural). "," 3,491 "
49,"Freeland, MI", 635 feet," $164,307 ",39.7 years,6.69,34.8 years,85.0," $79,210 "," 6,969. "," 1,042 "
50,"Garden City, MI", 636 feet," $101,994 ",39.7 years,5.86,40.6 years,89.1," $54,572 "," 27,052 (100% urban, 0% rural). "," 4,613 "
51,Grand Blanc, 840 feet," $160,816 ",39.7 years,3.75,43.0 years,81.4," $48,067 "," 8,033 (100% urban, 0% rural). "," 2,142 "
52,Grand Haven, 600 feet," $132,821 ",39.7 years,5.81,43.9 years,84.8," $51,065 "," 10,965 (99% urban, 1% rural). "," 1,889 "
53,Grand Ledge, 830 feet," $129,941 ",39.7 years,3.55,39.9 years,84.7," $50,706 "," 7,792 (100% urban, 0% rural). "," 2,193 "
54,"Grand Rapids, MI",," $134,500 ",39.7 years,44.6,31.1 years,86.0," $45,795 "," 196,458"," 4,401 "
55,Grandville, 604 feet," $157,109 ",39.7 years,7.41,36.1 years,85.0," $60,505 "," 15,857 (100% urban, 0% rural). "," 2,141 "
56,"Greenville, MI", 830 feet," $97,376 ",39.7 years,5.71,34.1 years,79.7," $33,726 "," 8,431 (98% urban, 2% rural). "," 1,476 "
57,Grosse Ile, 595 feet," $263,031 ",35.5 years,9.61,43.4 years,97.2," $92,801 "," 10,483."," 1,091 "
58,Grosse Pointe Farms, 605 feet," $351,531 ",39.7 years,2.7,42.7 years,91.9," $123,539 "," 9,285 (100% urban, 0% rural). "," 3,441 "
59,Grosse Pointe Park, 575 feet," $383,610 ",39.7 years,2.16,43.0 years,90.9," $104,914 "," 11,288 (100% urban, 0% rural). "," 5,237 "
60,Grosse Pointe Woods, 587 feet," $241,945 ",39.7 years,3.26,45.0 years,91.7," $96,561 "," 15,835 (100% urban, 0% rural). "," 4,856 "
61,Hamtramck,," $57,915 ",39.7 years,2.11,28.3 years,87.6," $24,407 "," 22,099 (100% urban, 0% rural). "," 10,484 "
62,Harper Woods, 580 feet," $81,057 ",39.7 years,2.58,36.1 years,88.9," $50,972 "," 13,907 (100% urban, 0% rural). "," 5,387 "
63,Haslett, 870 feet," $176,903 ",39.7 years,8.33,40.3 years,85.2," $62,248 "," 19,220. "," 2,308 "
64,"Hastings, MI", 810 feet," $109,001 ",39.7 years,5.24,37.0 years,83.2," $49,257 "," 7,302 (95% urban, 5% rural). "," 1,393 "
65,Hazel Park,," $59,996 ",39.7 years,2.82,37.9 years,88.3," $34,368 "," 16,604 (100% urban, 0% rural). "," 5,891 "
66,"Highland Park, MI",," $39,916 ",39.7 years,2.98,40.8 years,86.8," $18,045 "," 10,375 (100% urban, 0% rural). "," 3,484 "
67,"Hillsdale, MI",," $94,153 ",39.7 years,5.32,27.7 years,78.3," $33,008 "," 8,149 (98% urban, 2% rural). "," 1,532 "
68,"Holland, MI", 610 feet," $133,368 ",39.7 years,16.6,29.9 years,84.7," $53,118 "," 33,644 (100% urban, 0% rural). "," 2,031 "
69,"Holly, MI", 937 feet," $98,783 ",39.7 years,2.78,37.1 years,88.0," $54,270 "," 6,195 (100% urban, 0% rural). "," 2,226 "
70,"Holt, MI", 890 feet," $161,402 ",39.7 years,4.31,39.8 years,85.3," $61,574 "," 23,973. "," 5,558 "
71,"Houghton, MI", 607 feet," $159,416 ",39.7 years,4.31,22.6 years,83.6," $29,554 "," 7,932 (100% urban, 0% rural). "," 1,839 "
72,"Howell, MI", 922 feet," $161,206 ",39.7 years,4.11,39.2 years,90.0," $43,026 "," 9,598 (100% urban, 0% rural). "," 2,335 "
73,Hudsonville, 630 feet," $147,154 ",39.7 years,4.14,32.6 years,84.7," $59,618 "," 7,323 (100% urban, 0% rural). "," 1,768 "
74,Huntington Woods, 660 feet," $350,134 ",39.7 years,1.47,43.5 years,94.9," $125,129 "," 6,357 (100% urban, 0% rural). "," 4,337 "
75,"Inkster, MI", 628 feet," $55,099 ",39.7 years,6.26,34.0 years,87.5," $32,342 "," 24,786 (100% urban, 0% rural). "," 3,957 "
76,"Ionia, MI", 660 feet," $94,959 ",39.7 years,5.04,34.6 years,85.1," $33,359 "," 11,439 (100% urban, 0% rural). "," 2,268 "
77,Iron Mountain, 1138 feet," $86,441 ",39.7 years,7.2,44.5 years,77.8," $38,983 "," 7,554 (94% urban, 6% rural). "," 1,049 "
78,Ishpeming, 1411 feet," $90,847 ",39.7 years,8.69,41.7 years,76.8," $41,860 "," 6,532 (92% urban, 8% rural). ", 752 
79,"Jackson, MI", 960 feet," $66,287 ",39.7 years,11.1,31.6 years,82.3," $30,080 "," 33,200 (100% urban, 0% rural). "," 2,994 "
80,Jenison, 608 feet," $156,125 ",39.7 years,5.85,38.4 years,85.5," $62,697 "," 16,538. "," 2,826 "
81,Kalamazoo, 780 feet," $98,000 ",39.7 years,24.7,26.4 years,82.2," $40,441 "," 75,988"," 3,079 "
82,"Kentwood, MI", 689 feet," $149,198 ",39.7 years,21.0,34.2 years,85.7," $53,823 "," 50,764 (100% urban, 0% rural). "," 2,412 "
83,"Lambertville, MI", 670 feet," $181,021 ",39.7 years,6.08,45.0 years,89.4," $72,509 "," 9,953. "," 1,638 "
84,"Lansing, MI", 850 feet," $79,200 ",39.7 years,35.0,32.7 years,84.3," $40,160 "," 117,400"," 3,350 "
85,"Lapeer, MI", 950 feet," $99,972 ",39.7 years,5.55,40.8 years,88.4," $31,884 "," 8,762 (100% urban, 0% rural). "," 1,580 "
86,"Lincoln Park, MI", 587 feet," $74,077 ",39.7 years,5.85,37.1 years,88.0," $42,805 "," 37,231 (100% urban, 0% rural). "," 6,360 "
87,"Livonia, MI", 638 feet," $175,600 ",39.7 years,35.7,44.7 years,89.6," $71,692 "," 94,044"," 2,633 "
88,"Ludington, MI", 584 feet," $127,993 ",39.7 years,3.37,43.9 years,80.0," $37,168 "," 8,078 (97% urban, 3% rural). "," 2,399 "
89,"Madison Heights, MI",," $98,431 ",39.7 years,7.16,37.8 years,88.7," $44,437 "," 30,267 (100% urban, 0% rural). "," 4,225 "
90,Manistee, 201 feet," $110,383 ",39.7 years,3.25,44.1 years,77.9," $37,817 "," 6,098 (100% urban, 0% rural). "," 1,874 "
91,"Marquette, MI", 628 feet," $187,676 ",39.7 years,11.4,27.3 years,83.6," $41,122 "," 21,441 (98% urban, 2% rural). "," 1,880 "
92,"Marshall, MI", 916 feet," $124,900 ",39.7 years,5.92,42.5 years,83.2," $47,643 "," 7,035 (96% urban, 4% rural). "," 1,189 "
93,"Marysville, MI", 610 feet," $133,208 ",39.7 years,6.94,44.2 years,88.4," $61,456 "," 9,793 (100% urban, 0% rural). "," 1,411 "
94,"Mason, MI",," $125,523 ",39.7 years,4.58,36.9 years,85.3," $54,919 "," 8,319 (99% urban, 1% rural). "," 1,817 "
95,Melvindale,," $70,527 ",39.7 years,2.77,33.8 years,88.0," $38,116 "," 10,441 (100% urban, 0% rural). "," 3,771 "
96,"Menominee, MI", 590 feet," $84,254 ",39.7 years,5.18,43.3 years,76.9," $36,118 "," 8,458 (98% urban, 2% rural). "," 1,633 "
97,"Midland, MI", 629 feet," $142,297 ",39.7 years,33.2,39.8 years,79.7," $57,018 "," 41,957 (99% urban, 1% rural). "," 1,263 "
98,"Milford, MI", 945 feet," $222,408 ",39.7 years,2.45,42.2 years,89.0," $73,361 "," 6,461 (100% urban, 0% rural). "," 2,638 "
99,"Monroe, MI",," $118,623 ",39.7 years,9.04,36.5 years,88.3," $48,085 "," 20,198 (99% urban, 1% rural). "," 2,233 "
100,Mount Clemens, 614 feet," $95,462 ",39.7 years,4.22,41.0 years,87.9," $40,058 "," 16,408 (100% urban, 0% rural). "," 3,893 "
101,"Mount Pleasant, MI", 770 feet," $133,968 ",39.7 years,7.8,22.7 years,80.8," $32,615 "," 25,971 (100% urban, 0% rural). "," 3,330 "
102,Muskegon Heights, 625 feet," $44,638 ",39.7 years,3.17,30.6 years,81.2," $22,075 "," 10,799 (100% urban, 0% rural). "," 3,410 "
103,Muskegon,," $67,219 ",39.7 years,14.4,35.4 years,81.8," $27,573 "," 38,393 (100% urban, 0% rural). "," 2,675 "
104,"New Baltimore, MI", 585 feet," $223,447 ",39.7 years,4.62,39.6 years,88.5," $80,008 "," 12,269 (100% urban, 0% rural). "," 2,658 "
105,"Niles, MI", 658 feet," $85,545 ",39.7 years,5.79,35.0 years,81.8," $31,706 "," 11,400 (100% urban, 0% rural). "," 1,971 "
106,Northview,," $166,943 ",39.7 years,10.4,39.6 years,85.7," $59,083 "," 14,541. "," 1,396 "
107,"Northville, MI", 829 feet," $365,979 ",39.7 years,1.99,45.9 years,91.1," $102,400 "," 6,014 (100% urban, 0% rural). "," 3,016 "
108,Norton Shores, 612 feet," $119,839 ",39.7 years,23.2,44.2 years,82.9," $52,693 "," 24,081 (97% urban, 3% rural). "," 1,036 "
109,Novi, 909 feet," $311,699 ",39.7 years,30.5,38.9 years,91.3," $88,747 "," 58,416 (100% urban, 0% rural). "," 1,917 "
110,"Oak Park, MI", 666 feet," $96,674 ",39.7 years,5.02,37.6 years,89.0," $51,287 "," 29,834 (100% urban, 0% rural). "," 5,940 "
111,Okemos, 839 feet," $222,754 ",39.7 years,16.8,36.3 years,85.5," $78,249 "," 21,369. "," 1,271 "
112,Owosso,," $82,303 ",39.7 years,4.95,33.8 years,77.8," $40,342 "," 14,779 (100% urban, 0% rural). "," 2,986 "
113,Plymouth Township,," $216,949 ",35.5 years,15.9,39.6 years,94.2," $79,665 "," 26,751."," 1,681 "
114,"Plymouth, MI",," $294,105 ",39.7 years,2.23,40.3 years,91.0," $80,899 "," 8,933 (100% urban, 0% rural). "," 4,009 "
115,"Pontiac, MI", 943 feet," $62,926 ",39.7 years,20.0,32.8 years,87.8," $31,046 "," 59,808 (100% urban, 0% rural). "," 2,992 "
116,Port Huron, 610 feet," $84,727 ",39.7 years,8.08,37.4 years,88.1," $35,226 "," 29,168 (100% urban, 0% rural). "," 3,610 "
117,"Portage, MI", 880 feet," $164,329 ",39.7 years,32.2,38.6 years,82.6," $61,514 "," 47,837 (99% urban, 1% rural). "," 1,485 "
118,"Redford, MI", 621 feet," $114,057 ",35.5 years,11.2,35.9 years,92.6," $52,787 "," 49,678."," 4,424 "
119,River Rouge, 584 feet," $43,589 ",39.7 years,2.67,35.0 years,86.9," $28,391 "," 7,618 (100% urban, 0% rural). "," 2,853 "
120,"Riverview, MI", 600 feet," $150,848 ",39.7 years,4.41,45.1 years,88.6," $55,310 "," 12,222 (100% urban, 0% rural). "," 2,774 "
121,Rochester Hills, 810 feet," $294,200 ",39.7 years,32.8,40.0 years,91.6," $81,195 "," 73,418"," 2,235 "
122,"Rochester, MI", 749 feet," $361,735 ",39.7 years,3.86,40.8 years,90.8," $78,887 "," 12,995 (100% urban, 0% rural). "," 3,365 "
123,"Rockford, MI", 693 feet," $170,673 ",39.7 years,3.0,34.0 years,85.4," $66,098 "," 6,058 (100% urban, 0% rural). "," 2,022 "
124,"Romulus, MI", 650 feet," $89,138 ",39.7 years,35.9,36.7 years,87.9," $46,239 "," 23,496 (100% urban, 0% rural). ", 654 
125,"Roseville, MI", 615 feet," $77,329 ",39.7 years,9.81,38.0 years,88.5," $45,185 "," 47,598 (100% urban, 0% rural). "," 4,851 "
126,Royal Oak, 670 feet," $205,300 ",39.7 years,11.8,36.6 years,90.6," $70,534 "," 59,069 (100% urban, 0% rural). "," 4,999 "
127,Saginaw Township North,," $129,513 ",35.5 years,13.5,41.2 years,87.7," $50,411 "," 24,050."," 1,782 "
128,Saginaw Township South,," $142,204 ",35.5 years,6.9,42.2 years,87.7," $57,678 "," 13,280."," 1,924 "
129,"Saginaw, MI", 560 feet," $42,088 ",39.7 years,17.4,36.0 years,82.0," $30,282 "," 49,844 (100% urban, 0% rural). "," 2,857 "
130,"Saline, MI", 820 feet," $241,334 ",39.7 years,4.63,43.8 years,92.0," $69,732 "," 9,158 (100% urban, 0% rural). "," 1,979 "
131,Sault Ste. Marie, 613 feet," $94,959 ",39.7 years,14.8,33.6 years,78.7," $36,086 "," 13,959 (89% urban, 11% rural). ", 942 
132,"Shelby, MI",," $214,865 ",35.5 years,34.7,36.6 years,94.8," $75,367 "," 68,294."," 1,969 "
133,"Shields, MI", 595 feet," $119,732 ",39.7 years,6.54,48.9 years,83.5," $53,467 "," 6,587. "," 1,007 "
134,South Lyon, 919 feet," $188,777 ",39.7 years,3.39,39.5 years,89.4," $64,376 "," 11,713 (100% urban, 0% rural). "," 3,452 "
135,South Monroe,," $114,358 ",39.7 years,2.38,43.8 years,88.1," $41,043 "," 6,433. "," 2,702 "
136,"Southfield, MI", 684 feet," $147,000 ",39.7 years,26.2,42.5 years,90.0," $49,664 "," 73,093"," 2,786 "
137,"Southgate, MI", 591 feet," $107,626 ",39.7 years,6.86,43.5 years,88.5," $52,866 "," 29,416 (100% urban, 0% rural). "," 4,291 "
138,St. Clair Shores, 585 feet," $119,796 ",39.7 years,11.5,44.6 years,89.3," $58,680 "," 60,036 (100% urban, 0% rural). "," 5,207 "
139,"St. Johns, MI", 794 feet," $129,924 ",39.7 years,3.92,37.3 years,84.4," $45,920 "," 7,971 (98% urban, 2% rural). "," 2,033 "
140,"St. Joseph, MI", 630 feet," $183,872 ",39.7 years,3.43,41.8 years,83.3," $57,194 "," 8,325 (100% urban, 0% rural). "," 2,426 "
141,"St. Louis, MI", 730 feet," $85,060 ",39.7 years,2.87,34.0 years,77.2," $39,024 "," 7,249 (91% urban, 9% rural). "," 2,530 "
142,"Sterling Heights, MI", 615 feet," $173,400 ",39.7 years,36.6,39.5 years,89.8," $61,828 "," 132,442"," 3,615 "
143,"Sturgis, MI", 910 feet," $93,002 ",39.7 years,5.96,32.8 years,79.3," $36,062 "," 10,901 (100% urban, 0% rural). "," 1,830 "
144,"Taylor, MI", 615 feet," $92,566 ",39.7 years,23.6,37.8 years,88.5," $43,313 "," 61,594 (100% urban, 0% rural). "," 2,609 "
145,"Tecumseh, MI", 800 feet," $128,538 ",39.7 years,5.17,43.2 years,83.1," $54,395 "," 8,400 (97% urban, 3% rural). "," 1,626 "
146,Temperance, 620 feet," $173,277 ",39.7 years,4.6,44.6 years,88.7," $70,376 "," 8,517. "," 1,853 "
147,"Three Rivers, MI", 800 feet," $89,319 ",39.7 years,4.51,31.4 years,78.1," $41,858 "," 7,745 (99% urban, 1% rural). "," 1,718 "
148,Traverse City, 599 feet," $241,722 ",39.7 years,8.41,42.0 years,85.2," $53,839 "," 15,042 (100% urban, 0% rural). "," 1,789 "
149,"Trenton, MI",," $151,093 ",39.7 years,7.3,45.4 years,88.6," $58,811 "," 18,427 (100% urban, 0% rural). "," 2,524 "
150,"Troy, MI", 740 feet," $286,800 ",39.7 years,33.5,44.2 years,90.5," $95,975 "," 83,651"," 2,494 "
151,"Walker, MI", 742 feet," $167,734 ",39.7 years,25.2,35.4 years,85.2," $58,335 "," 24,468 (95% urban, 5% rural). ", 973 
152,Walled Lake, 939 feet," $143,780 ",39.7 years,2.27,40.3 years,90.4," $49,756 "," 7,129 (100% urban, 0% rural). "," 3,140 "
153,"Warren, MI", 625 feet," $113,500 ",39.7 years,34.3,37.5 years,89.0," $46,249 "," 135,121"," 3,941 "
154,"Waterford, MI", 970 feet," $184,891 ",35.5 years,31.3,35.5 years,94.2," $63,905 "," 73,473."," 2,345 "
155,"Waverly, MI",," $148,414 ",39.7 years,5.69,40.5 years,85.3," $54,208 "," 23,925. "," 4,203 "
156,"Wayne, MI", 658 feet," $80,689 ",39.7 years,6.02,39.3 years,87.6," $42,358 "," 17,091 (100% urban, 0% rural). "," 2,840 "
157,West Bloomfield Township,," $335,825 ",35.5 years,27.3,40.2 years,99.4," $106,486 "," 65,149."," 2,384 "
158,"Westland, MI", 665 feet," $113,200 ",39.7 years,20.4,41.9 years,89.0," $45,638 "," 81,543"," 3,987 "
159,"Westwood, MI",," $131,331 ",39.7 years,2.8,33.3 years,83.0," $53,708 "," 8,653. "," 3,090 "
160,Whitmore Lake, 900 feet," $157,743 ",39.7 years,4.36,36.2 years,90.0," $47,436 "," 6,423. "," 1,474 "
161,Wixom, 930 feet," $241,274 ",39.7 years,9.34,35.1 years,89.8," $49,274 "," 13,744 (100% urban, 0% rural). "," 1,471 "
162,Woodhaven, 595 feet," $165,297 ",39.7 years,6.47,42.2 years,88.4," $60,477 "," 12,594 (100% urban, 0% rural). "," 1,946 "
163,"Wyandotte, MI",," $105,545 ",39.7 years,5.31,42.4 years,88.1," $53,778 "," 25,151 (100% urban, 0% rural). "," 4,740 "
164,"Wyoming, MI",," $112,800 ",39.7 years,24.4,34.1 years,85.1," $51,886 "," 75,560"," 3,094 "
165,"Ypsilanti, MI", 700 feet," $145,855 ",39.7 years,4.4,24.5 years,92.9," $34,704 "," 20,081 (100% urban, 0% rural). "," 4,563 "
0,Alachua, 85 feet," $172,932 ",42.1 years,28.9,34.3 years,88.7," $55,882 "," 9,561 (67% urban, 33% rural). ", 331 
1,Alafaya,," $214,000
",42.1 years,,32.5 years,93.4," $51,335"," 91,779",
2,Altamonte Springs, 87 feet," $166,324 ",42.1 years,8.9,39.4 years,91.8," $52,313 "," 42,225 (100% urban, 0% rural). "," 4,746 "
3,"Andover, FL", 5 feet," $188,123 ",38.7 years,1.68,33.5 years,115.3," $40,587 "," 9,221."," 5,501 "
4,Apollo Beach,," $260,950 ",42.1 years,5.69,46.7 years,97.2," $77,100 "," 14,055. "," 2,470 "
5,Apopka, 130 feet," $206,485 ",42.1 years,24.0,38.3 years,91.3," $62,645 "," 47,084 (97% urban, 3% rural). "," 1,958 "
6,"Arcadia, FL", 57 feet," $94,820 ",42.1 years,4.04,32.3 years,81.6," $28,311 "," 7,722 (99% urban, 1% rural). "," 1,913 "
7,Asbury Lake, 30 feet," $185,644 ",42.1 years,3.36,38.6 years,88.7," $68,785 "," 8,700. "," 2,588 "
8,"Atlantic Beach, FL", 17 feet," $370,797 ",42.1 years,3.73,46.3 years,92.1," $74,934 "," 13,031 (100% urban, 0% rural). "," 3,494 "
