,City:,Elevation,Estimated median house or condo value in 2016:,Females:,Land area:,Males:,Mar. 2016 cost of living index: ,Median Income,Population,Population density:
387,Sarasota, 27 feet," $228,058 ",42.1 years, 14.9 ,47.4 years, 96.9 ," $45,283 "," 54,214 (100% urban, 0% rural). "," 3,640 "
388,Satellite Beach, 19 feet," $272,793 ",42.1 years, 2.38 ,43.4 years, 92.5 ," $64,777 "," 10,418 (100% urban, 0% rural). "," 4,385 "
389,Scott Lake, 10 feet," $214,596 ",38.7 years, 3.29 ,31.3 years, 115.1 ," $60,881 "," 15,642."," 4,756 "
390,"Sebastian, FL", 20 feet," $166,484 ",42.1 years, 12.6 ,53.6 years, 90.8 ," $48,086 "," 23,344 (99% urban, 1% rural). "," 1,850 "
391,"Sebring, FL", 131 feet," $90,292 ",42.1 years, 5.13 ,51.3 years, 81.2 ," $26,415 "," 10,372 (98% urban, 2% rural). "," 2,021 "
392,Seffner, 60 feet," $170,652 ",42.1 years, 3.62 ,39.0 years, 95.2 ," $58,235 "," 7,579. "," 2,096 "
393,"Seminole, FL",," $182,829 ",42.1 years, 2.47 ,56.7 years, 96.3 ," $51,390 "," 17,923 (100% urban, 0% rural). "," 7,245 "
394,Shady Hills, 60 feet," $129,681 ",42.1 years, 26.2 ,47.4 years, 94.0 ," $43,063 "," 11,523. ", 440 
395,Siesta Key, 5 feet," $732,778 ",42.1 years, 2.29 ,65.1 years, 105.3 ," $84,800 "," 6,565. "," 2,865 "
396,Silver Springs Shores, 80 feet," $83,483 ",42.1 years, 4.77 ,37.1 years, 85.2 ," $26,300 "," 6,539. "," 1,370 "
397,Sky Lake, 100 feet," $135,767 ",42.1 years, 1.26 ,36.8 years, 91.9 ," $38,730 "," 6,153. "," 4,882 "
398,South Bradenton, 20 feet," $70,854 ",42.1 years, 4.46 ,45.0 years, 92.7 ," $31,174 "," 22,178. "," 4,973 "
399,South Daytona, 11 feet," $131,682 ",42.1 years, 3.56 ,44.6 years, 89.1 ," $36,308 "," 12,397 (100% urban, 0% rural). "," 3,479 "
400,South Miami Heights, 11 feet," $195,631 ",42.1 years, 4.93 ,37.5 years, 108.5 ," $38,894 "," 35,696. "," 7,241 "
401,South Miami, 10 feet," $477,504 ",42.1 years, 2.29 ,39.6 years, 115.5 ," $62,860 "," 12,183 (100% urban, 0% rural). "," 5,309 "
402,South Peninsula,," $243,070 ",38.7 years, 4.42 ,58.0 years, 97.3 ," $55,919 "," 12,390."," 2,804 "
403,South Venice, 17 feet," $182,686 ",42.1 years, 6.21 ,54.3 years, 96.3 ," $51,186 "," 13,949. "," 2,245 "
404,South Westside,," $335,483 ",38.7 years, 14.0 ,40.4 years, 122.4 ," $56,527 "," 99,883."," 7,116 "
405,South and East Osceola,," $185,500 ",38.7 years, 991.5 ,38.4 years, 88.2 ," $51,938 "," 7,340.", 7.4 
406,Southchase, 90 feet," $226,936 ",42.1 years, 2.17 ,36.1 years, 93.0 ," $57,644 "," 15,921. "," 7,333 "
407,Southeast Arcadia,," $86,049 ",42.1 years, 7.31 ,30.0 years, 79.6 ," $34,197 "," 6,554. ", 897 
408,Southeast Leon,," $145,548 ",38.7 years, 118.6 ,35.7 years, 85.5 ," $57,782 "," 11,398.", 96 
409,"Southgate, FL", 5 feet," $239,910 ",42.1 years, 2.04 ,51.6 years, 97.5 ," $42,793 "," 7,173. "," 3,510 "
410,"Southport, FL", 13 feet," $133,540 ",38.7 years, 282.0 ,35.7 years, 86.4 ," $49,221 "," 8,623.", 31 
411,Southwest Glades,," $92,157 ",38.7 years, 509.6 ,35.3 years, 85.0 ," $36,467 "," 7,529.", 15 
412,Southwest Leon,," $120,996 ",38.7 years, 199.2 ,34.2 years, 85.7 ," $44,121 "," 13,007.", 65 
413,"Southwest Orange, FL",," $331,348 ",38.7 years, 163.7 ,35.7 years, 100.6 ," $74,659 "," 125,117.", 764 
414,Southwest Ranches, 10 feet," $246,100
",42.1 years,,43.4 years, 119.4 ," $54,212"," 7,761 (100% urban, 0% rural).",
415,"Spring Hill, FL",," $130,100 ",42.1 years, 53.1 ,43.5 years, 93.8 ," $49,705 "," 111,189"," 2,093 "
416,"Springfield, FL",," $113,291 ",42.1 years, 3.96 ,37.8 years, 87.2 ," $35,871 "," 9,355 (100% urban, 0% rural). "," 2,361 "
417,St. Augustine Beach, 10 feet," $367,305 ",42.1 years, 1.94 ,50.5 years, 91.6 ," $87,617 "," 6,706 (100% urban, 0% rural). "," 3,456 "
418,St. Augustine Shores, 30 feet," $176,475 ",42.1 years, 3.44 ,54.1 years, 90.6 ," $49,554 "," 7,359. "," 2,140 "
419,"St. Augustine, FL", 5 feet," $260,782 ",42.1 years, 8.37 ,43.0 years, 91.9 ," $51,555 "," 13,841 (100% urban, 0% rural). "," 1,653 "
420,"St. Cloud, FL", 75 feet," $167,735 ",42.1 years, 9.16 ,37.5 years, 91.2 ," $57,208 "," 43,005 (100% urban, 0% rural). "," 4,693 "
421,St. Pete Beach, 5 feet," $416,576 ",42.1 years, 2.25 ,57.7 years, 100.8 ," $70,087 "," 9,496 (100% urban, 0% rural). "," 4,225 "
422,"St. Petersburg, FL", 44 feet," $187,600 ",42.1 years, 59.6 ,42.7 years, 95.9 ," $51,474 "," 260,991"," 4,377 "
423,"Stuart, FL", 10 feet," $149,570 ",42.1 years, 6.31 ,48.5 years, 91.0 ," $40,969 "," 16,197 (100% urban, 0% rural). "," 2,569 "
424,Sugarmill Woods, 80 feet," $164,666 ",42.1 years, 26.4 ,66.8 years, 85.8 ," $46,157 "," 8,287. ", 314 
425,Sun City Center, 50 feet," $195,800
",42.1 years,,73.5 years, 98.8 ," $54,588"," 19,258.",
426,Sunny Isles Beach,," $243,647 ",38.7 years, 1.01 ,50.4 years, 121.0 ," $40,393 "," 16,635."," 16,544 "
427,"Sunrise, FL",," $173,000 ",42.1 years, 18.2 ,40.3 years, 114.0 ," $47,468 "," 93,723"," 5,149 "
428,"Sunset, FL",," $386,945 ",42.1 years, 3.56 ,44.2 years, 111.0 ," $73,990 "," 16,389. "," 4,607 "
429,"Sunshine Parkway, FL",," $329,615 ",38.7 years, 134.5 ,41.0 years, 110.0 ," $73,614 "," 153,186."," 1,139 "
430,"Sweetwater, FL",," $225,607 ",38.7 years, 0.82 ,36.3 years, 118.9 ," $37,463 "," 15,452."," 18,943 "
431,"Tallahassee, FL", 188 feet," $196,700 ",42.1 years, 95.7 ,26.8 years, 90.3 ," $43,663 "," 190,895"," 1,995 "
432,Tamarac, 11 feet," $170,900 ",42.1 years, 11.4 ,48.8 years, 113.5 ," $50,096 "," 65,190"," 5,723 "
433,Tamiami, 5 feet," $280,193 ",42.1 years, 7.34 ,44.6 years, 111.6 ," $49,873 "," 55,271. "," 7,527 "
434,"Tampa, FL", 48 feet," $216,100 ",42.1 years, 112.1 ,36.2 years, 96.3 ," $50,405 "," 377,172"," 3,366 "
435,Tarpon Springs, 17 feet," $196,920 ",42.1 years, 9.14 ,52.9 years, 95.3 ," $47,928 "," 24,239 (100% urban, 0% rural). "," 2,651 "
436,Tavares, 76 feet," $111,397 ",42.1 years, 7.09 ,54.9 years, 90.4 ," $42,415 "," 14,930 (100% urban, 0% rural). "," 2,106 "
437,Temple Terrace, 56 feet," $204,572 ",42.1 years, 6.86 ,35.7 years, 95.3 ," $58,907 "," 25,419 (100% urban, 0% rural). "," 3,708 "
438,The Acreage,," $269,600
",42.1 years,,40.9 years, 102.5 ," $57,580"," 38,704.",
439,The Crossings, 10 feet," $297,705 ",42.1 years, 3.74 ,40.9 years, 111.1 ," $65,488 "," 22,758. "," 6,091 "
440,The Hammocks, 5 feet," $292,900 ",42.1 years, 7.86 ,35.6 years, 109.7 ," $74,734 "," 65,814"," 8,372 "
441,The Villages, 75 feet," $274,600 ",42.1 years, 5.19 ,71.5 years, 95.3 ," $61,220 "," 71,350"," 13,747 "
442,Thonotosassa, 48 feet," $151,119 ",42.1 years, 16.7 ,43.0 years, 94.4 ," $44,348 "," 13,014. ", 781 
443,"Three Lakes, FL", 5 feet," $269,038 ",42.1 years, 3.26 ,36.3 years, 110.2 ," $67,693 "," 15,047. "," 4,611 "
444,"Titusville, FL", 18 feet," $111,077 ",42.1 years, 21.3 ,45.9 years, 88.6 ," $42,716 "," 44,557 (99% urban, 1% rural). "," 2,096 "
445,Town 'n' Country, 5 feet," $153,700 ",42.1 years, 23.7 ,37.0 years, 95.3 ," $49,847 "," 87,561"," 3,699 "
446,Treasure Island, 5 feet," $411,839 ",42.1 years, 1.59 ,58.1 years, 101.7 ," $66,580 "," 6,810 (100% urban, 0% rural). "," 4,277 "
447,"Trinity, FL", 20 feet," $286,794 ",42.1 years, 4.72 ,48.5 years, 98.8 ," $72,333 "," 10,907. "," 2,310 "
448,Union Park, 82 feet," $163,734 ",42.1 years, 2.99 ,31.2 years, 92.1 ," $46,536 "," 9,765. "," 3,269 "
449,"University Park, FL",," $299,265 ",42.1 years, 4.06 ,42.6 years, 112.3 ," $43,389 "," 26,995. "," 6,648 "
450,"University, FL",," $97,666 ",42.1 years, 3.87 ,27.4 years, 94.4 ," $26,004 "," 41,163. "," 10,635 "
451,Upper Grand Lagoon, 5 feet," $232,596 ",42.1 years, 8.25 ,39.7 years, 89.3 ," $57,183 "," 13,963. "," 1,693 "
452,Upper Keys,," $417,446 ",38.7 years, 44.8 ,44.8 years, 114.3 ," $66,929 "," 20,334.", 454 
453,Valrico, 55 feet," $236,738 ",42.1 years, 5.59 ,41.5 years, 95.8 ," $74,389 "," 35,545. "," 6,356 "
454,Venice Gardens, 16 feet," $190,467 ",42.1 years, 2.50 ,55.7 years, 95.4 ," $54,496 "," 7,104. "," 2,843 "
455,"Venice, FL", 15 feet," $250,086 ",42.1 years, 9.12 ,69.1 years, 97.7 ," $54,651 "," 21,730 (94% urban, 6% rural). "," 2,384 "
456,Vero Beach South,," $157,697 ",42.1 years, 10.3 ,50.9 years, 90.0 ," $47,388 "," 23,092. "," 2,234 "
457,Vero Beach, 22 feet," $241,339 ",42.1 years, 11.1 ,55.8 years, 93.5 ," $39,721 "," 16,017 (100% urban, 0% rural). "," 1,446 "
458,Viera East,," $175,600
",42.1 years,,50.0 years, 90.5 ," $51,184"," 10,757.",
459,Viera West,," $175,600
",42.1 years,,42.1 years, 91.5 ," $51,184"," 6,641.",
460,"Villas, FL",," $149,269 ",42.1 years, 4.69 ,51.7 years, 92.4 ," $50,904 "," 11,569. "," 2,469 "
461,Warrington, 20 feet," $88,732 ",42.1 years, 6.57 ,45.1 years, 84.9 ," $35,757 "," 14,531. "," 2,211 "
462,"Wedgefield, FL", 70 feet," $239,749 ",42.1 years, 23.4 ,35.6 years, 93.4 ," $62,529 "," 6,705. ", 286 
463,Wekiwa Springs,," $292,866 ",42.1 years, 8.64 ,43.5 years, 93.0 ," $80,758 "," 21,998. "," 2,546 "
464,"Wellington, FL", 15 feet," $396,713 ",42.1 years, 31.1 ,41.7 years, 103.1 ," $86,739 "," 61,485 (97% urban, 3% rural). "," 1,980 "
465,"Wesley Chapel, FL", 100 feet," $215,066 ",42.1 years, 6.06 ,36.1 years, 95.5 ," $74,389 "," 44,092. "," 7,279 "
466,West Lealman,," $186,500
",42.1 years,,51.0 years, 94.6 ," $50,036"," 15,651.",
467,West Little River, 5 feet," $132,300 ",42.1 years, 4.58 ,42.6 years, 106.7 ," $35,577 "," 34,699. "," 7,574 "
468,West Melbourne, 32 feet," $202,903 ",42.1 years, 7.82 ,41.6 years, 90.4 ," $60,592 "," 20,078 (99% urban, 1% rural). "," 2,566 "
469,West Miami, 9 feet," $292,308 ",42.1 years, 0.71 ,45.0 years, 114.1 ," $44,906 "," 6,326 (100% urban, 0% rural). "," 8,892 "
470,"West Palm Beach, FL", 21 feet," $236,500 ",42.1 years, 55.1 ,40.4 years, 101.8 ," $51,217 "," 108,149"," 1,961 "
471,"West Park, FL",," $246,100
",42.1 years,,36.5 years, 112.4 ," $54,212"," 14,914 (100% urban, 0% rural).",
472,West Pensacola, 76 feet," $67,221 ",42.1 years, 7.37 ,37.6 years, 84.5 ," $31,649 "," 21,339. "," 2,897 "
473,West Perrine, 10 feet," $180,758 ",42.1 years, 1.73 ,34.9 years, 108.4 ," $38,951 "," 9,460. "," 5,464 "
474,West St. Lucie,," $147,705 ",38.7 years, 364.0 ,54.0 years, 87.0 ," $49,394 "," 7,070.", 19 
475,West Vero Corridor, 20 feet," $67,438 ",42.1 years, 4.96 ,71.0 years, 88.7 ," $37,137 "," 7,138. "," 1,439 "
476,West Wakulla,," $150,009 ",38.7 years, 309.8 ,40.7 years, 87.1 ," $48,248 "," 6,983.", 23 
477,West and East Lealman, 45 feet," $116,345 ",38.7 years, 4.73 ,40.8 years, 98.5 ," $35,435 "," 21,528."," 4,552 "
478,Westchase,," $366,920 ",42.1 years, 10.7 ,37.1 years, 97.0 ," $97,220 "," 21,747. "," 2,023 "
479,"Westchester, FL", 5 feet," $311,739 ",42.1 years, 4.01 ,45.7 years, 112.2 ," $49,998 "," 29,862. "," 7,438 "
480,Westgate-Belvedere Homes,," $150,507 ",38.7 years, 2.06 ,30.5 years, 105.1 ," $37,898 "," 9,060."," 4,394 "
481,"Westgate, FL", 8 feet," $265,200
",42.1 years,,30.1 years, 105.9 ," $45,935"," 7,975.",
482,"Weston, FL", 500 feet," $455,700 ",42.1 years, 23.8 ,40.7 years, 117.0 ," $100,821 "," 70,023"," 2,947 "
483,Westview, 5 feet," $174,761 ",42.1 years, 3.12 ,41.3 years, 108.8 ," $38,844 "," 9,650. "," 3,096 "
484,Westwood Lakes,," $267,359 ",42.1 years, 1.72 ,46.5 years, 112.6 ," $51,672 "," 11,838. "," 6,871 "
485,"Wildwood, FL", 64 feet," $223,231 ",42.1 years, 5.17 ,62.9 years, 88.3 ," $44,167 "," 7,181 (96% urban, 4% rural). "," 1,390 "
486,"Williamsburg, FL", 85 feet," $198,600 ",42.1 years, 3.68 ,44.2 years, 94.2 ," $50,990 "," 7,646. "," 2,078 "
487,Willow Oak, 120 feet," $113,730 ",42.1 years, 3.22 ,34.4 years, 86.3 ," $38,088 "," 6,732. "," 2,094 "
488,Wilton Manors, 8 feet," $340,501 ",42.1 years, 1.94 ,51.5 years, 118.7 ," $54,916 "," 12,243 (100% urban, 0% rural). "," 6,302 "
489,Wimauma-Lithia,," $190,041 ",38.7 years, 266.4 ,32.8 years, 98.7 ," $60,546 "," 35,529.", 133 
490,Wimauma, 98 feet," $131,001 ",42.1 years, 8.42 ,28.8 years, 94.9 ," $31,896 "," 6,373. ", 757 
491,"Winston, FL", 138 feet," $82,576 ",38.7 years, 5.45 ,32.4 years, 88.8 ," $32,421 "," 10,662."," 1,957 "
492,Winter Garden, 126 feet," $291,617 ",42.1 years, 12.1 ,36.0 years, 92.3 ," $63,012 "," 38,746 (99% urban, 1% rural). "," 3,214 "
493,Winter Haven, 170 feet," $122,064 ",42.1 years, 17.7 ,43.8 years, 86.6 ," $41,724 "," 36,371 (99% urban, 1% rural). "," 2,057 "
494,"Winter Park, FL", 94 feet," $419,376 ",42.1 years, 7.34 ,43.9 years, 95.5 ," $65,167 "," 29,442 (100% urban, 0% rural). "," 4,011 "
495,Winter Springs, 49 feet," $262,115 ",42.1 years, 14.3 ,42.2 years, 92.5 ," $65,327 "," 34,169 (100% urban, 0% rural). "," 2,382 "
496,World Golf Village,," $296,100
",42.1 years,,38.8 years, 87.5 ," $78,581"," 12,310.",
497,"Wright, FL", 46 feet," $175,665 ",42.1 years, 5.47 ,33.5 years, 89.1 ," $50,557 "," 23,127. "," 4,228 "
498,"Youngstown, FL", 88 feet," $100,633 ",38.7 years, 167.7 ,36.4 years, 84.4 ," $41,568 "," 7,696.", 46 
499,Yulee, 35 feet," $188,928 ",42.1 years, 23.0 ,40.0 years, 88.7 ," $67,446 "," 11,491. ", 500 
500,Zephyrhills, 97 feet," $103,792 ",42.1 years, 6.27 ,51.6 years, 94.1 ," $33,437 "," 14,381 (96% urban, 4% rural). "," 2,294 "
